Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.apache.shiro.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.util; org.apache.shiro.codec
temp,org.apache.shiro.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.codec
temp,org.apache.shiro.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractFactory; Factory]; [AntPathMatcher; StringUtils; PermissionUtils; StringUtilsTest; Assert]; [CollectionUtils; MapContext; ThreadContext]; [JavaEnvironment]; [JdbcUtils]; [PatternMatcher]; [RegExPatternMatcher]; [InheritableThreadLocalMap]; [ThreadState]; [RegExPatternMatcherTest]; [ByteSource; Util; SimpleByteSource; BytesHelper]; [ClassUtils; ClassLoaderAccessor; ExceptionIgnoringAccessor; InstantiationException; UnknownClassException]; [Destroyable; LifecycleUtils; Initializable]; [Nameable]; [SoftHashMap; SoftValue]. LCC (Lack of Component Cohesion) = 0.47
temp,org.apache.shiro.io,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SerializationExceptionTest]; [ClassResolvingObjectInputStream; DefaultSerializer; SerializationException; Serializer; XmlSerializer]; [ResourceUtils]. LCC (Lack of Component Cohesion) = 0.43
temp,org.apache.shiro.test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractShiroTest; ExampleShiroUnitTest]; [ExampleShiroIntegrationTest]; [SecurityManagerTestSupport]; [ContainerIntegrationIT]; [ContainerIntegrationIT]. LCC (Lack of Component Cohesion) = 0.83
temp,org.apache.shiro.crypto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractSymmetricCipherService; DefaultBlockCipherService; JcaCipherService; AesCipherService; BlowfishCipherService; CipherService]; [CryptoException]; [RandomNumberGenerator]; [SecureRandomNumberGenerator]; [UnknownAlgorithmException]; [SecureRandomNumberGeneratorTest]. LCC (Lack of Component Cohesion) = 0.55
temp,org.apache.shiro.crypto.hash,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractHash]; [ConfigurableHashService; HashService]; [DefaultHashService]; [Hash]; [HashRequest]; [Builder]; [Md2Hash]; [Md5Hash]; [Sha1Hash]; [Sha256Hash]; [Sha384Hash]; [Sha512Hash]; [SimpleHash]; [SimpleHashRequest]; [DefaultHashServiceTest]; [HashRequestBuilderTest]. LCC (Lack of Component Cohesion) = 0.94
temp,org.apache.shiro.crypto.hash.format,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Base64Format]; [DefaultHashFormatFactory; HashFormat; ModularCryptFormat]; [HashFormatFactory]; [HexFormat]; [ParsableHashFormat]; [Shiro1CryptFormat]; [Base64FormatTest]; [DefaultHashFormatFactoryTest]; [HexFormatTest]; [ProvidedHashFormatTest]; [Shiro1CryptFormatTest]; [ToStringHashFormat]. LCC (Lack of Component Cohesion) = 0.86
temp,org.apache.shiro.event.support,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationEventListenerResolver]; [DefaultEventBus]; [Subscription]; [EventClassComparator]; [EventListener; TypedEventListener]; [EventListenerComparator]; [EventListenerResolver]; [SingleArgumentMethodEventListener]; [AnnotationEventListenerResolverTest]; [BarEvent; BazEvent; FooEvent; SubclassTestSubscriber; TestSubscriber; ErroneouslyAnnotatedSubscriber; ErrorCausingEvent; ExceptionThrowingSubscriber]; [DefaultEventBusTest]; [EventClassComparatorTest]; [EventListenerComparatorTest]; [InvalidMethodModifierSubscriber]; [NotAnnotatedSubscriber]; [SimpleEvent; SimpleSubscriber]; [SingleArgumentMethodEventListenerTest]. LCC (Lack of Component Cohesion) = 0.65
temp,org.apache.shiro.samples.guice,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SampleShiroGuiceBootstrap]; [SampleShiroServletModule]; [ContainerIntegrationIT]; [SampleShiroGuiceBootstrap]; [SampleShiroServletModule]; [ContainerIntegrationIT]; [SampleShiroGuiceBootstrap]; [SampleShiroNativeSessionsServletModule]; [SampleShiroServletModule]; [ContainerIntegrationIT]. LCC (Lack of Component Cohesion) = 1.0
