Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.apache.shiro.web,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.web; org.apache.shiro.web.servlet
temp,org.apache.shiro.web,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.web; org.apache.shiro.web.servlet; org.apache.shiro.web.subject
temp,org.apache.shiro.web,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.web.servlet; org.apache.shiro.web.attr; org.apache.shiro.mgt
temp,org.apache.shiro.web,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DefaultWebSecurityManager; DelegatingWebSecurityManager; DefaultWebSecurityManagerTest]; [RedirectView]; [SavedRequest]; [WebRememberMeManager; WebRememberMeManagerTest]; [WebSecurityManager]; [WebUtils]; [AbstractWebSecurityManagerTest]; [DelegatingWebSecurityManagerTest]; [WebTest]. LCC (Lack of Component Cohesion) = 0.75
temp,org.apache.shiro.web.filter,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.web.filter; org.apache.shiro.web
temp,org.apache.shiro.web.filter,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.web
temp,org.apache.shiro.web.filter.authc,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnonymousFilter]; [AuthenticatingFilter]; [AuthenticationFilter]; [BasicHttpAuthenticationFilter]; [FormAuthenticationFilter]; [PassThruAuthenticationFilter]; [UserFilter]; [AnonymousFilterTest]; [BasicHttpFilterAuthenticationTest]; [BearerHttpFilterAuthenticationTest]; [LogoutFilterTest]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.web.filter.authz,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthorizationFilter]; [HostFilter; HostFilterTest]; [HttpMethodPermissionFilter]; [PermissionsAuthorizationFilter]; [PortFilter; SslFilter]; [RolesAuthorizationFilter]; [AuthorizationFilterTest]; [HttpMethodPermissionFilterTest]. LCC (Lack of Component Cohesion) = 0.8
temp,org.apache.shiro.web.filter.mgt,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DefaultFilterChainManager]; [FilterChainManager]; [FilterChainResolver]; [NamedFilterList]; [PathMatchingFilterChainResolver]; [SimpleNamedFilterList]; [DefaultFilterChainManagerTest]; [PathMatchingFilterChainResolverTest]; [SimpleNamedFilterListTest]; [DefaultFilterChainManagerTest]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.web.servlet,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.web.servlet; org.apache.shiro.web
temp,org.apache.shiro.web.servlet,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.web.servlet; org.apache.shiro.web.subject; org.apache.shiro.web
temp,org.apache.shiro.web.servlet,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.config
temp,org.apache.shiro.web.servlet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractFilter]; [AbstractShiroFilter]; [AdviceFilter]; [Cookie]; [IniShiroFilter; IniShiroFilterTest]; [NameableFilter]; [OncePerRequestFilter]; [ProxiedFilterChain]; [ServletContextSupport]; [ShiroFilter]; [ShiroHttpServletRequest; ShiroHttpSession; ShiroHttpServletResponse]; [ObjectPrincipal]; [SimpleCookie]; [SimpleCookieTest]; [AbstractShiroFilterTest]; [IniShiroFilterTest]; [ShiroFilterTest]; [ShiroHttpServletResponseTest]. LCC (Lack of Component Cohesion) = 0.86
temp,org.apache.shiro.web.session,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DefaultWebSessionManager]; [DelegatingWebSessionManager]; [SessionManagerCallback]; [ThreadClearingSessionManager]; [ServletContainerSessionManager]; [WebSession]; [WebSessionManager]; [DefaultWebSessionManagerTest]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.web.subject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.web.subject; org.apache.shiro.web
temp,org.apache.shiro.web.subject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.web.subject; org.apache.shiro.web; org.apache.shiro.web.servlet
temp,org.apache.shiro.web.subject,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.subject; org.apache.shiro.web
temp,org.apache.shiro.web.tags,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthenticatedTag]; [GuestTag]; [HasAnyRolesTag]; [HasPermissionTag]; [HasRoleTag]; [LacksPermissionTag]; [LacksRoleTag]; [NotAuthenticatedTag]; [PermissionTag]; [PrincipalTag]; [RoleTag]; [SecureTag]; [UserTag]. LCC (Lack of Component Cohesion) = 1.0
